summary_date,score,score_stay_active,score_move_every_hour,score_meet_daily_targets,score_training_frequency,score_training_volume,score_recovery_time,cal_active,cal_total,daily_movement,inactivity_alerts,steps,non_wear,rest,inactive,low,medium,high,average_met,met_min_inactive,met_min_low,met_min_medium,met_min_high,target_calories,target_km,target_miles,to_target_km,to_target_miles,day_start,day_end,class_5min
2020-02-05,97.0,93.0,100.0,95.0,100.0,96.0,100.0,444,2037,11130,0,12605,0,552,399,415,67,7,1.5625,14,264,173,42,300,9.0,5.592339,-3.7,-2.2990727,2020-02-05T04:00:00-08:00,2020-02-06T03:59:59-08:00,111111111111111111111111111111111133223233333222222344333333234333343332222332223335333333444344333322332332223233222223223322223332223332223333332223333323433333322222222112222233333333233223223322233332223222233321111111111111111111111111111111121112111111111111111111111111111111111111
2020-02-06,94.0,76.0,100.0,95.0,100.0,96.0,100.0,218,1782,5036,0,6396,103,496,525,292,23,1,1.375,12,159,64,6,250,7.0,4.349597,0.9,0.5592339000000001,2020-02-06T04:00:00-08:00,2020-02-07T03:59:59-08:00,111111111111111112321121122333322333322223320000000000000000000333323333422334033222322222212122222333222332222333333333322342223233222223222322322222322222211112223323332222222222222222223333333333332232222322222222221222331111111111111111111111111111111111111111111111111111111111111111
2020-02-07,93.0,68.0,100.0,95.0,100.0,95.0,100.0,264,1849,6375,0,8543,0,476,633,284,46,1,1.4375,15,151,122,5,250,7.0,4.349597,-0.2,-0.1242742,2020-02-07T04:00:00-08:00,2020-02-08T03:59:59-08:00,111111111111222221112123322223322222222111111111111222232222332222222232333222233323323232232322222232322322333323322223222223333432233322222222223432234344444333322222222211111234332233222222222223342223423332222223332212322111111111111111111111111111111111111111111112221221122222112221
2020-02-08,94.0,73.0,95.0,95.0,100.0,96.0,100.0,405,1961,10533,1,13229,0,540,552,238,108,2,1.53125,9,150,279,10,250,7.0,4.349597,-3.9,-2.4233469,2020-02-08T04:00:00-08:00,2020-02-09T03:59:59-08:00,221111111111111111111111111111122333333343433322322222333222222222222222222222232222222222222222222343335334323334222232222334444334322224444333322322223443223222222223222234434423443222222111111122121111111122223442222222222222233431111111111111111111111111111111111111111111111111111111
2020-02-09,95.0,79.0,95.0,95.0,100.0,100.0,100.0,907,2448,21264,1,12476,0,612,469,186,49,124,1.875,8,105,120,774,350,10.0,6.21371,-14.6,-9.0720166,2020-02-09T04:00:00-08:00,2020-02-10T03:59:59-08:00,111111111111111111221111111112223111111111111111111111112223432332222223333223343322222223332234443432333334433443444432332222222222233423222222222222222212223333343423334433333222323222222222222222222222222222332222333222211233311111111111111111111111111111111111111111111111111111111111
2020-02-10,96.0,84.0,100.0,95.0,100.0,100.0,98.0,193,1723,4609,0,5525,179,573,431,233,24,0,1.34375,10,142,62,0,250,7.0,4.349597,1.6,0.9941936,2020-02-10T04:00:00-08:00,2020-02-11T03:59:59-08:00,111111111111111111111111111231111211112334334440000000000000000000000000000000000023322222222223234322323222222233322223322322222333332233323222333222222322332222222233322223333322233333333332322322222222221233211221111111111111111111111111111111111111111111111111111111111111111111111111
2020-02-11,97.0,87.0,100.0,95.0,100.0,100.0,100.0,505,2092,12486,0,14906,0,533,446,340,114,7,1.625,12,183,324,41,350,9.0,5.592339,-3.9,-2.4233469,2020-02-11T04:00:00-08:00,2020-02-12T03:59:59-08:00,111111111111111111111333222234222222222234345344333433334433333322223222333322222223222223543333323324333422222333333322223233232222223343432322322224433444424444444234432222211122233333223223233222222233322111133111111111111111111111111211111111111111111111111111111111111111111111111111
2020-02-12,96.0,83.0,100.0,95.0,100.0,100.0,100.0,377,1986,8878,0,10387,2,484,477,410,64,3,1.53125,15,226,160,17,350,9.0,5.592339,-0.6,-0.3728226,2020-02-12T04:00:00-08:00,2020-02-13T03:59:59-08:00,111111111111111111111222223322222222232322223233223423433332222233334333332111122222221122222333222233222222233233323222333322322333342222222223323443333222222343443433333333332332333443443233333333333233332232222322223432222111111111111111111111111111111111111111111111111111111111111111
2020-02-13,91.0,55.0,95.0,95.0,100.0,99.0,98.0,227,1812,5359,1,7712,64,360,711,268,37,0,1.40625,14,141,97,0,250,7.0,4.349597,0.7,0.4349597,2020-02-13T04:00:00-08:00,2020-02-14T03:59:59-08:00,111222222222221111111111111220000000000002332433222223232222322322222223222222322222222222232222222222222334322222322232232223344234232333333342233333233443222222222222222222222222243322222222233332223333222222223332222222223332222233211111111111111111111111111111221111111111111111111111
2020-02-14,86.0,64.0,78.0,78.0,100.0,98.0,100.0,249,1794,6311,2,7840,0,523,641,222,53,1,1.40625,9,121,142,5,250,7.0,4.349597,0.1,0.0621371,2020-02-14T04:00:00-08:00,2020-02-15T03:59:59-08:00,111111111111111111111111111111112132222222222232344434322222232222322222232223223322333223332343332222222322222222233342222222222222233332223332223343222322322323322222222222223444332222222222222222233334322222232212112211111111111111111111111111221111111111111111111111111111111111111111
2020-02-15,84.0,65.0,95.0,60.0,100.0,96.0,100.0,193,1721,4875,1,6176,0,570,623,221,25,1,1.34375,11,136,61,5,350,10.0,6.21371,4.2,2.6097582,2020-02-15T04:00:00-08:00,2020-02-16T03:59:59-08:00,111111112211122111111111111111111111111111111222222222222233443433423322222232222222222222333333233323223222332333222212222112222222232223233322222222223222222222233333222222222222334222332223322222333233433222222111122212222111111111111111111111111111111111111111122111111111111111111111
2020-02-16,76.0,59.0,78.0,43.0,96.0,95.0,100.0,229,1785,5705,2,7101,0,455,695,254,35,1,1.375,9,144,95,5,250,7.0,4.349597,0.6,0.3728226,2020-02-16T04:00:00-08:00,2020-02-17T03:59:59-08:00,111111111111111111111122211112222222222222333434433344222222222222233223332222222222222222223332222322233322222333333223432223334333322222332222222222222222222222222122322224432222233332333223222222333222223332222222233332111111111111111111111121111111111111111111111111111111111111112221
2020-02-17,83.0,90.0,95.0,43.0,100.0,95.0,100.0,319,1881,7758,1,9948,100,541,420,322,54,3,1.46875,12,185,138,18,350,10.0,6.21371,0.9,0.5592339000000001,2020-02-17T04:00:00-08:00,2020-02-18T03:59:59-08:00,111221111111111111111111111122321111111111111233333323333333333223322322223222222224432333322332332332332333223322222222333333332223444434432333222222222232422343243322222222222222232223333322334333000000000000000000002333211111111111111111111221111111111111111111111111111111111111211111
2020-02-18,77.0,74.0,100.0,25.0,100.0,95.0,100.0,290,1878,6874,0,8190,7,473,574,334,49,3,1.46875,12,176,118,15,350,9.0,5.592339,1.6,0.9941936,2020-02-18T04:00:00-08:00,2020-02-19T03:59:59-08:00,111111111111111111111111111113223223222223232322222232222222221223441023343343222223233222323433333333222223322222322332223432232332222232223333334323222333332234222222222232222233333233343323323332234433222222323233322333211111111111111111111111111111111121111111112111111111111111111111
2020-02-19,76.0,72.0,100.0,25.0,100.0,95.0,100.0,352,1981,8364,0,9837,0,416,570,405,45,4,1.53125,19,234,115,22,350,10.0,6.21371,0.0,0.0,2020-02-19T04:00:00-08:00,2020-02-20T03:59:59-08:00,111111111111111111111222111122233333223322222234443334422343333333333232233322222222222222222334332222222323332222322223222232222223322221223322322323234433333333322233333233333323333322232222122133333322222233222233333222222222222333322111111111111111111111111111111111111111112211111111
